,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
3004,구서신동아,1997,59.79,12, 구서동,중앙대로1929번길,00048,165-1,"    28,000",2022.5.7
3005,금강부광,1997,59.86,15, 구서동,금샘로229번길,00029,563-40,"    15,300",2022.5.10
3006,구서 협성 엠파이어,2013,84.977,4, 구서동,중앙대로,01920,183-2,"    41,700",2022.5.10
3007,꿈꾸는가,2017,68.191,14, 구서동,두실로7번길,00111,184-9,"    24,500",2022.5.11
3008,스카이엘,2019,49.3764,17, 구서동,금정로231번길,00004,415-16,"    22,000",2022.5.12
3009,구서동롯데캐슬골드2단지(1049),2006,77.1,7, 구서동,금강로,00503,1049,"    52,000",2022.5.13
3010,꿈꾸는가,2017,68.191,8, 구서동,두실로7번길,00111,184-9,"    24,500",2022.5.13
3011,청아리치타운,2003,84.44,11, 구서동,중앙대로,01963,162-8,"    25,500",2022.5.14
3012,구서동쌍용예가2단지,2010,157.7983,15, 구서동,금샘로,00262,1059,"   121,000",2022.5.14
3013,구서시티타워,2005,37.962,2, 구서동,금정로233번길,00031,415-3,"    13,000",2022.5.14
3014,경보,1996,59.58,9, 구서동,금단로,00033,267,"    19,800",2022.5.16
3015,구서동롯데캐슬골드1단지(1051),2006,59.81,8, 구서동,금강로,00502,1051,"    48,200",2022.5.16
3016,유림노르웨이아침,2004,84.21,31, 구서동,중앙대로,01799,420-12,"    31,500",2022.5.16
3017,청아리치타운,2003,81.82,13, 구서동,중앙대로,01963,162-8,"    26,000",2022.5.16
3018,청아리치타운,2003,81.82,13, 구서동,중앙대로,01963,162-8,"    26,000",2022.5.16
3019,부영벽산,1993,84.76,5, 구서동,중앙대로1929번길,00048,166-1,"    34,000",2022.5.16
3020,금강부광,1997,59.61,17, 구서동,금샘로229번길,00029,563-40,"    15,800",2022.5.16
3021,동호그린빌라,1990,74.14,1,기장읍 동부리,차성동로,00136,378-3,"    10,000",2022.5.2
3022,동산그린타워,1992,58.7,3,기장읍 동부리,차성동로122번길,00030,374-11,"    10,400",2022.5.10
3023,한신,1995,59.85,7,기장읍 동부리,차성로344번길,00013,151-5,"    20,200",2022.5.10
3024,동산그린타워,1992,58.7,3,기장읍 동부리,차성동로122번길,00030,374-11,"    10,400",2022.5.10
3025,한신,1995,84.985,19,기장읍 동부리,차성로344번길,00013,151-5,"    27,750",2022.5.11
3026,동호그린빌라,1990,64.065,3,기장읍 동부리,차성동로,00136,378-3,"     7,900",2022.5.16
3027,부전베스트,1990,75.12,4,기장읍 동부리,차성동로142번길,00012,377-1,"    13,200",2022.5.21
3028,이진스카이빌,2004,59.97,2,기장읍 동부리,차성서로,00158,333,"    18,400",2022.5.21
3029,한신,1995,59.85,15,기장읍 동부리,차성로344번길,00013,151-5,"    20,800",2022.5.24
3030,욱일,1998,59.12,5,기장읍 교리,차성로412번길,00037,336-10,"     8,900",2022.5.2
3031,태영,1995,59.75,3,기장읍 교리,차성로441번길,00007,14-5,"    17,300",2022.5.2
3032,전원그린맨션B동,1993,58.12,1,기장읍 교리,차성동로154번길,00028,361-1,"    10,500",2022.5.4
3033,전원그린맨션B동,1993,59.64,4,기장읍 교리,차성동로154번길,00028,361-1,"     9,900",2022.5.5
3034,이진캐스빌블루1차,2011,84.9005,22,기장읍 교리,차성로,00461,2,"    46,000",2022.5.12
3035,가화만사성,2004,59.9869,16,기장읍 교리,차성동로,00167,343-1,"    21,600",2022.5.14
3036,이진캐스빌블루2차,2011,68.6835,4,기장읍 교리,차성로,00452,367-1,"    37,000",2022.5.14
3037,문화그린맨션,1993,84.135,9,기장읍 교리,차성로417번길,00021,65,"    18,900",2022.5.16
3038,서부주공,2001,59.92,5,기장읍 서부리,차성서로,00123,101,"    24,900",2022.5.1
3039,이진테마빌,2000,48.598,3,기장읍 서부리,배산로8번길,00065,402,"    11,400",2022.5.16
3040,이진테마빌,2000,59.0604,16,기장읍 서부리,배산로8번길,00051,402,"    14,300",2022.5.24
3041,이진테마빌,2000,33.6966,14,기장읍 서부리,배산로8번길,00065,402,"     8,100",2022.5.24
3042,이진테마빌,2000,33.6966,12,기장읍 서부리,배산로8번길,00065,402,"     8,300",2022.5.24
